rescomp_id,resource_component,studytype,countstudies,reldiff,reldiff_normal,data_elements,yrs_posttreat,treatvalue,ctrlvalue,meanvalue,countobservations,minvalue,maxvalue
1,Sheet and rill erosion,benchmark,29,-76.6,-2.462629681,Plant Foliar Cover,0,11,47,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,-68.18,-2.367890669,Cover for different groups,11,28,88,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,-56.82,-1.973242224,Cover for different groups,5,38,88,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,-37.21,-1.407469876,Bare Ground,1,54,86,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,-26.14,-0.907691423,Cover for different groups,1,65,88,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,-10.64,-0.3420319,Plant Foliar Cover,1,42,47,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,0,0,Cover for different groups,1,3,3,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,22.73,0.439834336,Bare Ground,1,54,44,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,33.33,0.039464844,Cover for different groups,1,4,3,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,95.45,1.847304212,Bare Ground,0,86,44,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,180,0.710367201,Cover for different groups,11,28,10,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,190,0.749832045,Cover for different groups,1,29,10,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,200,0.236789067,Cover for different groups,5,9,3,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,200,0.78929689,Cover for different groups,5,30,10,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,215.79,0.017132559,Litter Cover,0.33,0.6,0.19,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,281.82,2.120597781,Plant Foliar Cover,1,42,11,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,317.86,0.037190189,Litter Cover,0.33,1.17,0.28,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,500,0.591972667,Cover for different groups,11,18,3,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,833.33,0.986621112,Cover for different groups,5,28,3,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,900,1.065550801,Cover for different groups,11,30,3,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,15870.69,3.846468376,Litter Cover,0.33,92.63,0.58,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,22350,3.735733545,Litter Cover,0.33,89.8,0.4,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,30667.86,3.588226393,Litter Cover,0.33,86.15,0.28,1221.4,204,-100,126057.14
1,Sheet and rill erosion,benchmark,29,126057.14,3.68726094,Litter Cover,0.33,88.31,0.07,1221.4,204,-100,126057.14
1,Sheet and rill erosion,treatcontrol,29,-100,-0.62738227,Sediment production,10,0,295,1221.4,204,-100,126057.14
1,Sheet and rill erosion,treatcontrol,29,-100,-0.285065221,Runoff,10,0,3.93,1221.4,204,-100,126057.14
1,Sheet and rill erosion,treatcontrol,29,-100,-0.000543424,Sediment Loss,1.41,0,2.3,1221.4,204,-100,126057.14
