rescomp_id,resource_component,avgannchange,normal,data_elements,yrsposttreat
72,Invasive species,-1.2,-0.003185334,Plant Canopy Cover,3.17
72,Invasive species,-1.4,-0.003716224,Plant Canopy Cover,2.17
72,Invasive species,-1.5,-0.003981668,Plant Canopy Cover,19.5
72,Invasive species,-1.5,-0.003981668,Plant Canopy Cover,3.17
72,Invasive species,-1.7,-0.004512557,Plant Canopy Cover,20.5
72,Invasive species,-3,-0.007963336,Plant Canopy Cover,19.5
72,Invasive species,-3.9,-0.010352337,Plant Canopy Cover,20.5
72,Invasive species,-6.1,-0.016192117,Plant Canopy Cover,2.08
72,Invasive species,-6.7,-0.017784784,Plant Canopy Cover,2.08
72,Invasive species,-6.7,-0.017784784,Plant Canopy Cover,20.5
72,Invasive species,-6.9,-0.018315673,Plant Canopy Cover,2.17
72,Invasive species,-7.58,-0.070927352,Plant Density,20.5
72,Invasive species,-8.33,-0.078020088,Plant Density,20.5
72,Invasive species,-9,-0.375855816,Litter Cover,20.5
72,Invasive species,-9,-0.023890009,Plant Canopy Cover,20.5
72,Invasive species,-9.7,-0.405089046,Litter Cover,3.17
72,Invasive species,-9.8,-0.026013565,Plant Canopy Cover,1.08
72,Invasive species,-10,-0.417617574,Litter Cover,20.5
72,Invasive species,-11.6,-0.030791567,Plant Canopy Cover,2.08
72,Invasive species,-11.9,-0.0315879,Plant Canopy Cover,2.08
72,Invasive species,-13,-0.03450779,Plant Canopy Cover,19.5
72,Invasive species,-13.04,-0.000212782,Plant Density,20.5
72,Invasive species,-13.5,-0.035835013,Plant Canopy Cover,19.5
72,Invasive species,-15,-0.62642636,Litter Cover,19.5
72,Invasive species,-15.8,-0.659835766,Litter Cover,2.08
72,Invasive species,-16.5,-0.689068996,Litter Cover,3.17
72,Invasive species,-16.67,-0.156040175,Plant Density,20.5
72,Invasive species,-17.3,-0.722478402,Litter Cover,2.08
72,Invasive species,-19,-0.79347339,Litter Cover,1.08
72,Invasive species,-20.5,-0.856116026,Litter Cover,2.17
72,Invasive species,-24,-0.06370669,Plant Canopy Cover,1.08
72,Invasive species,-25,-1.044043934,Litter Cover,19.5
72,Invasive species,-28,-1.169329206,Litter Cover,19.5
72,Invasive species,-30,-0.004255641,Plant Density,20.5
72,Invasive species,-33.33,-0.028370941,Plant Density,19.5
72,Invasive species,-37.88,-0.354636762,Plant Density,20.5
72,Invasive species,-40,-1.670470294,Litter Cover,19.5
72,Invasive species,-48,-2.004564353,Litter Cover,20.5
72,Invasive species,-53,-2.21337314,Litter Cover,19.5
72,Invasive species,-54.12,-0.326265821,Plant Density,19.5
72,Invasive species,-60,-2.505705441,Litter Cover,19.5
72,Invasive species,-62.12,-0.581604289,Plant Density,20.5
72,Invasive species,-75,-0.001276692,Plant Density,19.5
72,Invasive species,-78.26,-0.001276692,Plant Density,20.5
72,Invasive species,-80,-0.482305996,Plant Density,19.5
72,Invasive species,-87.06,-0.524862408,Plant Density,19.5
72,Invasive species,-88.33,-0.075182994,Plant Density,19.5
72,Invasive species,1500,0.212782057,Plant Density,20.5
72,Invasive species,1000,0.141854705,Plant Density,20.5
72,Invasive species,545.83,0.009291483,Plant Density,19.5
72,Invasive species,465.22,0.007589227,Plant Density,20.5
72,Invasive species,425,0.00723459,Plant Density,19.5
72,Invasive species,400,0.006525316,Plant Density,20.5
72,Invasive species,383.33,0.326265821,Plant Density,19.5
72,Invasive species,200,0.170225646,Plant Density,19.5
72,Invasive species,200,0.028370941,Plant Density,20.5
72,Invasive species,164.71,0.019859659,Plant Density,19.5
72,Invasive species,160.87,0.002624312,Plant Density,20.5
72,Invasive species,158.33,0.013476197,Plant Density,20.5
72,Invasive species,141.18,0.017022565,Plant Density,19.5
72,Invasive species,116.67,0.009929829,Plant Density,20.5
72,Invasive species,111.76,0.013476197,Plant Density,19.5
72,Invasive species,66.67,0.001134838,Plant Density,19.5
72,Invasive species,64.71,0.007802009,Plant Density,19.5
72,Invasive species,61,2.682989451,Bare Ground,19.5
72,Invasive species,58.82,0.007092735,Plant Density,19.5
72,Invasive species,55,2.419088849,Bare Ground,19.5
72,Invasive species,50,0.007092735,Plant Density,20.5
72,Invasive species,50,0.004255641,Plant Density,20.5
72,Invasive species,50,0.000851128,Plant Density,19.5
72,Invasive species,44,1.935271079,Bare Ground,20.5
72,Invasive species,43.6,0.11573382,Plant Canopy Cover,1.08
72,Invasive species,40,1.759337345,Bare Ground,20.5
72,Invasive species,35.4,0.093967367,Plant Canopy Cover,2.08
72,Invasive species,34.12,0.205689322,Plant Density,19.5
72,Invasive species,26.6,0.070608248,Plant Canopy Cover,2.08
72,Invasive species,25,0.002127821,Plant Density,20.5
72,Invasive species,25,1.099585841,Bare Ground,19.5
72,Invasive species,22.35,0.13476197,Plant Density,19.5
72,Invasive species,21,0.923652106,Bare Ground,19.5
72,Invasive species,18,0.791701805,Bare Ground,19.5
72,Invasive species,17.9,0.047514573,Plant Canopy Cover,2.17
72,Invasive species,17,0.747718372,Bare Ground,2.17
72,Invasive species,14.5,0.038489458,Plant Canopy Cover,3.17
72,Invasive species,13.5,0.035835013,Plant Canopy Cover,20.5
72,Invasive species,11.6,0.030791567,Plant Canopy Cover,20.5
72,Invasive species,11.5,0.030526122,Plant Canopy Cover,20.5
72,Invasive species,10.9,0.479419426,Bare Ground,2.17
